,name,distance,mass,radius,gravity
0,Sirius,0008.6,2.1,1.71,196.85374632913812
1,Alpha Centauri,0004.4,1.1,1.2,209.38559643026986
2,Altair,0017,1.8,1.8,152.280433767469
3,Fomalhaut,0025,1.9,1.8,160.74045786566168
4,Tau Ceti,011.9,0.783,0.893,269.1382688446168
5,Delta Pavonis,019.92,0.991,1.22,182.50325030530178
6,Titawin,044.25,1.27,1.48,158.9267127430762
7,54 Piscium,036.1,0.76,0.94,235.76237369159978
8,KIC 8462852,"01,470",1.43,1.58,157.01403481712273
9,YBP 1194,"02,772",1.01,0.99,282.46692030329416
10,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.14850276279157
11,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189999999999,175.93553814787873
12,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999,263.90330722181807
13,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.407579076671
14,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998,172.04486250521114
15,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997,273.2248236044693
16,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998,348.96256329986846
17,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998,336.49961461058746
18,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716,298.6279580305046
19,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.16153675250763
20,2MASSW J2244316+204343,56.0,0.011455056,0.13256426999999998,178.67379332366747
21,2MASS J23224684-3133231,56.0,0.022910112,0.14284056999999997,307.7801971636199
